respondent_id,h1n1_vaccine,seasonal_vaccine
26864,0.26426128,0.48632422
26865,0.0643994,0.110037185
26866,0.2472852,0.6406815
26867,0.15417776,0.23696452
26868,0.5205503,0.84057146
26869,0.14129405,0.33889657
26870,0.39360055,0.74581337
26871,0.11939714,0.12160165
26872,0.17403886,0.39585432
26873,0.26937288,0.7252116
26874,0.111225985,0.23504151
26875,0.4687238,0.85195386
26876,0.10765984,0.12120128
26877,0.13283843,0.22148374
26878,0.20777078,0.36697122
26879,0.057363797,0.07459827
26880,0.10776355,0.1834995
26881,0.07617972,0.15997565
26882,0.09486572,0.16442034
26883,0.12282895,0.32124037
26884,0.13612114,0.2767055
26885,0.20325254,0.7097871
26886,0.14325772,0.68426865
26887,0.41205925,0.79231286
26888,0.66285115,0.868943
26889,0.103758715,0.1890965
26890,0.17649648,0.42420438
26891,0.31030455,0.54690886
26892,0.17901437,0.7382934
26893,0.116702706,0.2686664
26894,0.21168469,0.35976833
26895,0.13101675,0.7580863
26896,0.1174906,0.18702945
26897,0.09759592,0.38357726
26898,0.22016342,0.5621725
26899,0.120814554,0.17643383
26900,0.15651943,0.33620605
26901,0.055730388,0.3341779
26902,0.27509236,0.7969247
26903,0.24475028,0.15445793
26904,0.10212312,0.37734282
26905,0.2837566,0.7148949
26906,0.11540221,0.38466465
26907,0.07929926,0.48188174
26908,0.16403314,0.65237373
26909,0.114041895,0.25953153
26910,0.15228038,0.27370012
26911,0.11614921,0.18254519
26912,0.3428285,0.87870574
26913,0.5407742,0.7728015
26914,0.14939825,0.28646702
26915,0.2518208,0.5904198
26916,0.13037248,0.36648843
26917,0.0446876,0.07306939
26918,0.4650412,0.80736715
26919,0.26032317,0.58081764
26920,0.099447526,0.23098847
26921,0.21016777,0.6983721
26922,0.15598689,0.591765
26923,0.13843451,0.49508652
26924,0.4407396,0.77158123
26925,0.17762712,0.5517187
26926,0.35237232,0.44933885
26927,0.27960557,0.5458828
26928,0.16861261,0.47235975
26929,0.15046078,0.23596951
26930,0.42991877,0.8043011
26931,0.17132212,0.42343852
26932,0.16470876,0.7463255
26933,0.18293689,0.6039546
26934,0.3809629,0.6023846
26935,0.18772306,0.4505095
26936,0.30188757,0.40437922
26937,0.24194966,0.6635614
26938,0.13931605,0.14944807
26939,0.08282287,0.10240982
26940,0.14531077,0.24073353
26941,0.1105945,0.4243208
26942,0.38674256,0.708053
26943,0.25933748,0.5760371
26944,0.13244389,0.24965495
26945,0.16259624,0.5622448
26946,0.22116837,0.59054774
26947,0.18769939,0.5373253
26948,0.069486,0.1279432
26949,0.0754083,0.14538218
26950,0.12731892,0.4165649
26951,0.11929687,0.37228078
26952,0.59842736,0.87500596
26953,0.5035762,0.9161787
26954,0.11705289,0.23670398
26955,0.17257695,0.5764728
26956,0.16155766,0.3181202
26957,0.119673125,0.77613705
26958,0.24691153,0.6375827
26959,0.10593112,0.26479402
26960,0.09271397,0.12336756
26961,0.18959449,0.5185255
26962,0.24659769,0.7912842
26963,0.18003595,0.36101726
26964,0.16927546,0.31668308
26965,0.5790339,0.8866276
26966,0.06617381,0.097922444
26967,0.17672013,0.45331267
26968,0.10148809,0.7071689
26969,0.08381852,0.256036
26970,0.37939465,0.5001738
26971,0.14581767,0.36124966
26972,0.048574403,0.08278134
26973,0.12248397,0.2066873
26974,0.15504465,0.37889513
26975,0.13378441,0.6134448
26976,0.5876117,0.539907
26977,0.1057287,0.36714008
26978,0.103434645,0.61034214
26979,0.2860877,0.60636497
26980,0.10397388,0.19742286
26981,0.13894235,0.29964858
26982,0.429057,0.7764619
26983,0.17608285,0.5700676
26984,0.1408858,0.22392057
26985,0.0765419,0.17066407
26986,0.16566934,0.5149275
26987,0.13428122,0.2675971
26988,0.090600595,0.20655148
26989,0.2647092,0.67359954
26990,0.065630935,0.14157802
26991,0.2970763,0.5386862
26992,0.22826687,0.43213123
26993,0.1822743,0.7382511
26994,0.19630477,0.37318218
26995,0.17131066,0.40118673
26996,0.23731376,0.37253836
26997,0.072733626,0.14603065
26998,0.10864472,0.14768681
26999,0.32162395,0.49946716
27000,0.1629061,0.40173048
27001,0.1437888,0.64594483
27002,0.07296895,0.23779054
27003,0.07580041,0.12221495
27004,0.15882026,0.3161796
27005,0.31855118,0.64757687
27006,0.5138621,0.8214047
27007,0.11709124,0.25655487
27008,0.11646776,0.12678303
27009,0.11763023,0.31953543
27010,0.14747441,0.28443462
27011,0.14766997,0.2408692
27012,0.26903692,0.51033515
27013,0.15168941,0.43466505
27014,0.085257486,0.2931121
27015,0.13504365,0.24997015
27016,0.18115085,0.42092544
27017,0.33655813,0.6616962
27018,0.13793041,0.33822075
27019,0.6776827,0.90829307
27020,0.1970022,0.2993374
27021,0.16008419,0.44119886
27022,0.18986645,0.3420382
27023,0.19720656,0.26888666
27024,0.15447848,0.34656167
27025,0.10401597,0.07945272
27026,0.1502569,0.4182914
27027,0.13475785,0.6443966
27028,0.275032,0.76989925
27029,0.12547877,0.30967563
27030,0.2227734,0.32607025
27031,0.31239682,0.6978935
27032,0.21290718,0.47887602
27033,0.24035127,0.6545874
27034,0.082851745,0.518856
27035,0.17296605,0.30421913
27036,0.20208521,0.60319245
27037,0.39806917,0.62759954
27038,0.10306348,0.09815677
27039,0.47698283,0.8329745
27040,0.21364918,0.22967173
27041,0.14340778,0.5145439
27042,0.17035194,0.45378545
27043,0.32084656,0.67700475
27044,0.055807263,0.11176632
27045,0.20157151,0.592161
27046,0.122742124,0.2130839
27047,0.43127283,0.49291307
27048,0.18327044,0.36834016
27049,0.26391816,0.8001276
27050,0.10769336,0.5588674
27051,0.1687144,0.31370538
27052,0.15123598,0.3134336
27053,0.61587566,0.90581584
27054,0.09446752,0.17001191
27055,0.2047641,0.73928267
27056,0.069264695,0.09350227
27057,0.07842918,0.10266457
27058,0.5793653,0.8791965
27059,0.12511456,0.30744636
27060,0.08043556,0.42066333
27061,0.16244477,0.47478852
27062,0.17319031,0.43097177
27063,0.18118739,0.49899194
27064,0.2416535,0.5482479
27065,0.12193049,0.3613177
27066,0.1529148,0.5218261
27067,0.29763332,0.57140964
27068,0.6230508,0.8648117
27069,0.3433916,0.86165243
27070,0.11336137,0.18252635
27071,0.11215385,0.16379078
27072,0.18699436,0.5256883
27073,0.111741014,0.68775445
27074,0.10786389,0.3441933
27075,0.4909429,0.768397
27076,0.38448972,0.6140794
27077,0.097165704,0.17926283
27078,0.23098269,0.72729135
27079,0.33613396,0.8279139
27080,0.13203704,0.3097994
27081,0.09766147,0.57736826
27082,0.20026723,0.38129166
27083,0.12502834,0.2903227
27084,0.48992246,0.6711212
27085,0.09282395,0.069832474
27086,0.12608597,0.16895998
27087,0.21445437,0.356511
27088,0.20129107,0.6592157
27089,0.21661735,0.31843826
27090,0.23700756,0.55884707
27091,0.38962454,0.21168141
27092,0.15183905,0.32436088
27093,0.1948116,0.32547936
27094,0.047634315,0.11508069
27095,0.11608687,0.47995374
27096,0.08752996,0.27036038
27097,0.4696003,0.6922747
27098,0.40784934,0.77215767
27099,0.1716374,0.45207286
27100,0.15485574,0.61419904
27101,0.1350766,0.54998505
27102,0.185752,0.70685583
27103,0.06960349,0.14682524
27104,0.27430758,0.5055513
27105,0.11357254,0.4816056
27106,0.3965401,0.7974121
27107,0.3466169,0.6637584
27108,0.13982782,0.34116706
27109,0.12866884,0.2657558
27110,0.15475656,0.4852086
27111,0.09816598,0.3962355
27112,0.23922244,0.54925686
27113,0.15109304,0.337035
27114,0.15538503,0.3274679
27115,0.3866481,0.74749345
27116,0.23721236,0.78298545
27117,0.12914987,0.21929564
27118,0.1717955,0.53811765
27119,0.11492282,0.40326777
27120,0.3343716,0.9062814
27121,0.08184304,0.5810263
27122,0.10822507,0.32749417
27123,0.1306988,0.19974111
27124,0.11173834,0.1834378
27125,0.08411218,0.15166682
27126,0.20392832,0.18134627
27127,0.14347942,0.23952724
27128,0.17272702,0.50018406
27129,0.39129606,0.5804289
27130,0.14718233,0.26321092
27131,0.10585596,0.13891429
27132,0.37114012,0.85051435
27133,0.14546052,0.56364596
27134,0.43905342,0.80918556
27135,0.23441146,0.54873925
27136,0.1309089,0.50761867
27137,0.12526037,0.2296823
27138,0.18261267,0.46375293
27139,0.17832412,0.19035642
27140,0.66576225,0.86547154
27141,0.4091628,0.71909356
27142,0.13440305,0.3295967
27143,0.23121172,0.46441057
27144,0.114138946,0.13069776
27145,0.34588456,0.60620964
27146,0.14393055,0.8001336
27147,0.11506344,0.3288862
27148,0.24898337,0.30388415
27149,0.18848385,0.3184553
27150,0.4664566,0.89531904
27151,0.18026106,0.6352894
27152,0.09160648,0.30436346
27153,0.23875102,0.7205868
27154,0.49526152,0.8085248
27155,0.18135333,0.6018215
27156,0.06727337,0.37906143
27157,0.08048781,0.42203608
27158,0.11670057,0.41147652
27159,0.12007388,0.2837252
27160,0.22523342,0.29751962
27161,0.2530477,0.5054008
27162,0.3086198,0.82816696
27163,0.46711954,0.50505966
27164,0.22633749,0.1946293
27165,0.3549648,0.5856561
27166,0.12775971,0.23779553
27167,0.15934834,0.4518906
27168,0.25047192,0.5669282
27169,0.2924849,0.5961339
27170,0.3188167,0.7492061
27171,0.113327384,0.364249
27172,0.12588067,0.6850102
27173,0.22579959,0.5116955
27174,0.1105598,0.16164371
27175,0.121666975,0.21960253
27176,0.35428202,0.88176167
27177,0.5650722,0.8634772
27178,0.16580349,0.39086193
27179,0.14523487,0.3096382
27180,0.26016486,0.38969326
27181,0.11338894,0.6661663
27182,0.45364133,0.8309029
27183,0.09727548,0.5131665
27184,0.09926709,0.39651522
27185,0.3886,0.7149178
27186,0.17247823,0.540538
27187,0.13345206,0.19310904
27188,0.122790046,0.4403856
27189,0.1451416,0.49504018
27190,0.3266977,0.6874652
27191,0.28606027,0.85926914
27192,0.36529666,0.6912992
27193,0.06647951,0.23838347
27194,0.17681003,0.41028085
27195,0.11155337,0.2624362
27196,0.25077257,0.32913083
27197,0.17133047,0.5746649
27198,0.7266726,0.9528794
27199,0.086442396,0.20931172
27200,0.22534953,0.5814116
27201,0.5196236,0.8539822
27202,0.1248772,0.1081361
27203,0.11861682,0.21142495
27204,0.08508318,0.1614281
27205,0.13222185,0.30883658
27206,0.17327309,0.2749632
27207,0.14406542,0.2747837
27208,0.42782,0.712086
27209,0.18743646,0.34615213
27210,0.25567085,0.40763408
27211,0.15761878,0.29626933
27212,0.37051144,0.86095846
27213,0.319644,0.5436326
27214,0.08398868,0.16802087
27215,0.26128396,0.68521327
27216,0.1398194,0.7737942
27217,0.14499561,0.26476502
27218,0.43872857,0.867176
27219,0.32620406,0.5683279
27220,0.18100102,0.36754945
27221,0.19118452,0.56903136
27222,0.2074515,0.510062
27223,0.17195016,0.544652
27224,0.2161532,0.6713412
27225,0.21276344,0.351568
27226,0.08082753,0.29742292
27227,0.17671943,0.363766
27228,0.34207657,0.748591
27229,0.48911458,0.8179395
27230,0.26459357,0.9009482
27231,0.33583915,0.7406846
27232,0.15917721,0.51614386
27233,0.24721639,0.21628337
27234,0.11315805,0.07912721
27235,0.6141731,0.88724905
27236,0.22299314,0.8003944
27237,0.27986443,0.50168806
27238,0.24045072,0.65738106
27239,0.27278957,0.30437547
27240,0.16168304,0.42301467
27241,0.13594484,0.301888
27242,0.15045056,0.41378075
27243,0.099585794,0.15728459
27244,0.11263114,0.20627823
27245,0.17526162,0.43357772
27246,0.55316156,0.87636477
27247,0.26704976,0.82379884
27248,0.18546084,0.5851831
27249,0.1568728,0.5681308
27250,0.14971833,0.35538056
27251,0.14194453,0.38404146
27252,0.2537545,0.58076656
27253,0.15875551,0.7782329
27254,0.6471968,0.89787114
27255,0.18424058,0.38789135
27256,0.4130003,0.8945134
27257,0.27104768,0.47784993
27258,0.31435916,0.7218406
27259,0.3981496,0.8037058
27260,0.1870089,0.48786724
27261,0.15188718,0.5891007
27262,0.24044435,0.52445066
27263,0.15603207,0.18502185
27264,0.117887564,0.16621003
27265,0.16469143,0.27853373
27266,0.18642823,0.40714395
27267,0.29460344,0.6473687
27268,0.068887986,0.21258678
27269,0.3972482,0.44639206
27270,0.096761644,0.16348256
27271,0.112452626,0.35024026
27272,0.083588116,0.28777754
27273,0.11543247,0.2429919
27274,0.17097962,0.45099843
27275,0.20305648,0.3987797
27276,0.05849366,0.18813567
27277,0.1413052,0.686437
27278,0.2022174,0.38851497
27279,0.1297864,0.33929121
27280,0.25732017,0.45360896
27281,0.12014075,0.32111654
27282,0.17425719,0.7519499
27283,0.047007475,0.098962404
27284,0.23525572,0.39441672
27285,0.1407729,0.42186517
27286,0.122776404,0.30407408
27287,0.20344351,0.50838983
27288,0.36663106,0.74505246
27289,0.2925091,0.4556747
27290,0.07575633,0.15730697
27291,0.49496523,0.7666903
27292,0.157635,0.5360768
27293,0.21790679,0.881201
27294,0.06957563,0.10950061
27295,0.2976739,0.7987779
27296,0.16630042,0.625376
27297,0.17058244,0.6197876
27298,0.1683339,0.37687474
27299,0.23238003,0.6638763
27300,0.29575258,0.87735647
27301,0.050199308,0.09998051
27302,0.17298084,0.5336738
27303,0.07941062,0.16342041
27304,0.13334286,0.69356084
27305,0.097403646,0.10235694
27306,0.1811396,0.5166247
27307,0.4827607,0.6778057
27308,0.18212548,0.26942068
27309,0.39196652,0.9070584
27310,0.09291807,0.1926059
27311,0.1662378,0.20075247
27312,0.15341935,0.3823762
27313,0.13893554,0.2269967
27314,0.106216334,0.1470235
27315,0.15056194,0.35465994
27316,0.23765856,0.668086
27317,0.14014427,0.22750865
27318,0.2259868,0.36783507
27319,0.3180317,0.7472172
27320,0.3067631,0.52536124
27321,0.094563365,0.49456787
27322,0.18548495,0.118768744
27323,0.19051969,0.5126299
27324,0.32887068,0.5486508
27325,0.47496608,0.8668535
27326,0.18952464,0.552335
27327,0.114980675,0.4210972
27328,0.20254172,0.4791268
27329,0.17092653,0.35653037
27330,0.07338649,0.41145214
27331,0.14021745,0.2781077
27332,0.262284,0.85849744
27333,0.37639877,0.6465006
27334,0.10698704,0.11562398
27335,0.19423923,0.18539366
27336,0.13788027,0.23807655
27337,0.24250108,0.6460245
27338,0.20653993,0.3973539
27339,0.2577361,0.3337989
27340,0.06648046,0.23899259
27341,0.21890178,0.62842214
27342,0.12102181,0.5164051
27343,0.10480651,0.19570273
27344,0.2419661,0.524042
27345,0.12774587,0.3204221
27346,0.5541318,0.9155094
27347,0.5072116,0.86975837
27348,0.1619627,0.31709296
27349,0.1212194,0.27093288
27350,0.24491742,0.8253036
27351,0.5482616,0.7928196
27352,0.15559335,0.32701167
27353,0.052430257,0.16940029
27354,0.20106474,0.5864068
27355,0.22797193,0.46579686
27356,0.21361382,0.55825824
27357,0.15022214,0.41886216
27358,0.2048871,0.6665837
27359,0.25637424,0.6898407
27360,0.18891132,0.58189744
27361,0.12883405,0.8027495
27362,0.21945336,0.4760714
27363,0.16997153,0.30912912
27364,0.11648233,0.44897875
27365,0.24308677,0.57378876
27366,0.38316336,0.56655574
27367,0.27028912,0.52603227
27368,0.16527611,0.48302266
27369,0.13530996,0.15498745
27370,0.10516339,0.71891534
27371,0.23796572,0.38830933
27372,0.13736422,0.31623107
27373,0.5344802,0.6735051
27374,0.082563445,0.33859783
27375,0.29430982,0.8626318
27376,0.46092173,0.48705474
27377,0.19530696,0.49727756
27378,0.119154215,0.23925315
27379,0.16305609,0.27356002
27380,0.23043181,0.80199224
27381,0.20006587,0.5762079
27382,0.21650954,0.3008577
27383,0.1977665,0.5682545
27384,0.109596185,0.35133275
27385,0.18921526,0.8063918
27386,0.27314183,0.77737147
27387,0.26347524,0.7437874
27388,0.16289116,0.333127
27389,0.23067154,0.3610785
27390,0.069403276,0.09634737
27391,0.22032155,0.61759335
27392,0.4447599,0.70646423
27393,0.068089135,0.1451728
27394,0.0825736,0.3628312
27395,0.4461046,0.61183375
27396,0.12884212,0.1684315
27397,0.5950298,0.854482
27398,0.38184142,0.75820607
27399,0.2150279,0.454396
27400,0.17822565,0.57478607
27401,0.27037686,0.35307243
27402,0.17601171,0.67826724
27403,0.11946584,0.2890807
27404,0.25692943,0.37166277
27405,0.61101973,0.74408185
27406,0.1392194,0.25555342
27407,0.11654877,0.1723699
27408,0.15432782,0.5945974
27409,0.5674364,0.8793326
27410,0.14564827,0.34147418
27411,0.14874396,0.2573969
27412,0.23682587,0.7288677
27413,0.050748095,0.24361229
27414,0.4275844,0.61973363
27415,0.13493079,0.29178128
27416,0.1628736,0.3257705
27417,0.15111117,0.41397828
27418,0.2349113,0.29203263
27419,0.32220393,0.86351043
27420,0.16946562,0.25267625
27421,0.19301328,0.34757438
27422,0.25231576,0.5750516
27423,0.08937663,0.34839654
27424,0.2183368,0.48968792
27425,0.24934974,0.44229528
27426,0.15606372,0.30762157
27427,0.16919167,0.40671742
27428,0.11354239,0.23677613
27429,0.2573644,0.3464478
27430,0.21699904,0.63690466
27431,0.21936029,0.566114
27432,0.20354204,0.5422688
27433,0.20923232,0.76261824
27434,0.13512164,0.3401543
27435,0.2328658,0.60390127
27436,0.069017276,0.17177887
27437,0.1764358,0.24708694
27438,0.12995759,0.28365207
27439,0.23863326,0.33881718
27440,0.1615564,0.27826172
27441,0.56707567,0.8005229
27442,0.18171202,0.8188951
27443,0.09322526,0.2093664
27444,0.15940797,0.13963053
27445,0.09465983,0.10898097
27446,0.15414828,0.17940548
27447,0.09726248,0.29584917
27448,0.2875214,0.5699531
27449,0.2770987,0.83835304
27450,0.1306937,0.73790896
27451,0.087173484,0.23614225
27452,0.078356475,0.20366395
27453,0.19597793,0.79918855
27454,0.1476696,0.37549073
27455,0.16402486,0.23376353
27456,0.21259543,0.37557885
27457,0.119376205,0.28714386
27458,0.13769579,0.40871528
27459,0.08753795,0.20554847
27460,0.42567363,0.76962
27461,0.19544284,0.2689737
27462,0.101529084,0.44752708
27463,0.17903325,0.45829242
27464,0.35811463,0.6757507
27465,0.42249486,0.80071
27466,0.055813577,0.11441913
27467,0.104484536,0.36935806
27468,0.12899488,0.4531253
27469,0.11965682,0.50411946
27470,0.6172191,0.8018996
27471,0.14635773,0.57045746
27472,0.21689749,0.5466688
27473,0.13048847,0.32051185
27474,0.19211142,0.51766586
27475,0.10389246,0.11636344
27476,0.21420616,0.39387292
27477,0.15921544,0.34381613
27478,0.08990454,0.5195765
27479,0.17538534,0.3019026
27480,0.24164784,0.62730354
27481,0.41579857,0.68916225
27482,0.23661442,0.37989083
27483,0.31834266,0.66745603
27484,0.31791,0.7971348
27485,0.0885259,0.71817887
27486,0.15885119,0.2954156
27487,0.25369173,0.7696131
27488,0.6259964,0.8342426
27489,0.52549845,0.6927393
27490,0.08777462,0.2776069
27491,0.24797547,0.5877046
27492,0.13085315,0.5191876
27493,0.24462052,0.8017965
27494,0.28630087,0.62042123
27495,0.18994945,0.3476857
27496,0.106630504,0.29470658
27497,0.09219856,0.08704806
27498,0.12630321,0.53958637
27499,0.2764067,0.78648233
27500,0.20521174,0.7648193
27501,0.10168186,0.34312394
27502,0.16336368,0.5441147
27503,0.13976656,0.5056387
27504,0.0687397,0.09673687
27505,0.11631663,0.25674608
27506,0.3399881,0.7016432
27507,0.12550321,0.27018264
27508,0.16071871,0.35516545
27509,0.23789994,0.5349466
27510,0.3471024,0.44251373
27511,0.22039281,0.5407812
27512,0.1495874,0.30848095
27513,0.18909031,0.44751602
27514,0.29873416,0.55140704
27515,0.30894428,0.4339056
27516,0.3088502,0.71468127
27517,0.066961594,0.101131834
27518,0.5532547,0.84706366
27519,0.08116522,0.18023604
27520,0.12574384,0.23612337
27521,0.14658564,0.31494382
27522,0.14884757,0.21443026
27523,0.099883825,0.34101537
27524,0.10616843,0.43942687
27525,0.1798691,0.39810014
27526,0.42106044,0.6154813
27527,0.1681972,0.82679087
27528,0.23605478,0.7197939
27529,0.12872975,0.6631182
27530,0.14036685,0.22951594
27531,0.15240766,0.13098237
27532,0.27400538,0.8497132
27533,0.26486,0.46714538
27534,0.13875902,0.18768536
27535,0.1854928,0.72265464
27536,0.17529197,0.4204067
27537,0.40648934,0.7549134
27538,0.2787818,0.38562787
27539,0.24952286,0.64985156
27540,0.3086665,0.3193114
27541,0.40044683,0.887775
27542,0.11768502,0.2639273
27543,0.28781602,0.57187873
27544,0.15530221,0.23423643
27545,0.20005712,0.22947355
27546,0.5070989,0.61495537
27547,0.11627825,0.20198134
27548,0.1566735,0.8154578
27549,0.18699676,0.68493766
27550,0.1721592,0.18419123
27551,0.23429212,0.49578357
27552,0.19437136,0.69212013
27553,0.12908734,0.3386612
27554,0.21591492,0.42685148
27555,0.12784114,0.34464654
27556,0.1560655,0.6467638
27557,0.27698877,0.8006144
27558,0.14016238,0.28035682
27559,0.20564362,0.5771372
27560,0.25982755,0.5910406
27561,0.2918321,0.7028664
27562,0.2463433,0.55682325
27563,0.22132583,0.50693816
27564,0.23446523,0.4414142
27565,0.22417141,0.35042262
27566,0.1978666,0.260646
27567,0.18640758,0.6176854
27568,0.44536665,0.8623808
27569,0.08348944,0.15188417
27570,0.36955324,0.7007441
27571,0.12609786,0.17016585
27572,0.049202245,0.08461249
27573,0.07389644,0.3060028
27574,0.27078742,0.41525674
27575,0.09233321,0.28833273
27576,0.09201296,0.1942208
27577,0.183481,0.5482265
27578,0.20229188,0.44592276
27579,0.15732817,0.5829091
27580,0.13553216,0.52181476
27581,0.17119783,0.25558066
27582,0.12803498,0.2963109
27583,0.1532099,0.29852337
27584,0.4141344,0.4869026
27585,0.2607403,0.44130793
27586,0.5030033,0.76409215
27587,0.12752506,0.5737991
27588,0.16274568,0.3455147
27589,0.1548533,0.39194804
27590,0.25911027,0.43634322
27591,0.37366915,0.7004655
27592,0.08130952,0.11834819
27593,0.13959022,0.18856707
27594,0.20938197,0.56978625
27595,0.073062375,0.20650072
27596,0.15221204,0.31084198
27597,0.15388808,0.35514292
27598,0.08932632,0.17750677
27599,0.44115603,0.7136948
27600,0.10546066,0.5318714
27601,0.06585872,0.66389114
27602,0.5068329,0.8230893
27603,0.11727552,0.18049563
27604,0.05497591,0.246294
27605,0.3236815,0.57500535
27606,0.17141204,0.31964037
27607,0.34924027,0.47278383
27608,0.16809292,0.41473153
27609,0.3430961,0.6183324
27610,0.2698262,0.55847085
27611,0.23070785,0.21118662
27612,0.102544546,0.6611742
27613,0.53189266,0.8781517
27614,0.1467511,0.38599268
27615,0.23699631,0.86471957
27616,0.04799285,0.07407046
27617,0.26608104,0.45315146
27618,0.15620992,0.3969356
27619,0.25242743,0.43462
27620,0.33402768,0.58754486
27621,0.1579519,0.4237559
27622,0.37606093,0.8878239
27623,0.2495436,0.71558374
27624,0.2084127,0.67812574
27625,0.16704835,0.34988585
27626,0.062379356,0.21739031
27627,0.5701711,0.7698737
27628,0.16558,0.6603728
27629,0.05629034,0.17213832
27630,0.32199925,0.6839651
27631,0.2321994,0.3839188
27632,0.098087534,0.20064333
27633,0.3154612,0.5776108
27634,0.13784494,0.29430386
27635,0.14603333,0.3893312
27636,0.36827782,0.8253926
27637,0.13301896,0.19406955
27638,0.13966288,0.33478725
27639,0.113790184,0.37745574
